frame_num;sec;nsec;yaw;pitch;roll;north_c;east_c;down_c;north;east;down;vx;vy;vz;gimbal_roll;gimbal_pitch;gps_time_week
36;1664534694;279008424;1.37958;-0.0254286;0.00202576;208.015;-686.232;170.866;188.465;-675.29;-0.000411987;0.000302593;-0.000239978;-0.00628659;0.007;-0.004;0
37;1664534694;378990128;1.37957;-0.0254309;0.00201721;208.017;-686.234;170.867;188.465;-675.29;1.52588e-05;0.000305443;-0.000249811;-0.00641401;0;-0.003;0
38;1664534694;478974808;1.37957;-0.0254364;0.00202119;208.017;-686.234;170.867;188.465;-675.29;-0.000335693;6.88433e-05;-9.17867e-05;-0.00579767;0.004;-0.002;0
39;1664534694;578963870;1.37959;-0.0254209;0.00198614;208.017;-686.233;170.866;188.464;-675.289;-7.62939e-05;0.000135399;-0.000397485;-0.00518792;0.005;-0.001;0
40;1664534694;678939496;1.37963;-0.0254129;0.00197338;208.017;-686.233;170.866;188.464;-675.289;-0.000808716;0.000485832;-0.000305848;-0.00480772;0.008;-0.006;0
41;1664534694;778933262;1.37962;-0.025401;0.00195819;208.017;-686.232;170.867;188.463;-675.29;-0.000198364;0.000468082;-0.000185262;-0.00521042;0.006;-0.005;0
42;1664534694;878899608;1.37961;-0.02542;0.00197519;208.017;-686.232;170.867;188.463;-675.29;0.000701904;8.94326e-05;-0.000353987;-0.005568;0.004;-0.006;0
43;1664534694;978900733;1.37962;-0.0254107;0.00196181;208.015;-686.233;170.867;188.462;-675.29;0.00062561;8.90702e-05;4.1353e-06;-0.00511897;0.004;-0.004;0
44;1664534695;78857540;1.37963;-0.0254249;0.00197022;208.015;-686.233;170.867;188.461;-675.29;-1.52588e-05;0.000312471;6.40316e-06;-0.00515865;0.003;-0.003;0
45;1664534695;178838660;1.37964;-0.0254311;0.0019593;208.016;-686.234;170.867;188.465;-675.29;1.52588e-05;8.95849e-05;6.00258e-05;-0.00544917;0.002;-0.002;0
46;1664534695;278812422;1.37963;-0.0254573;0.00196588;208.016;-686.234;170.867;188.468;-675.29;0.00105286;7.02396e-05;-3.28424e-05;-0.00561922;0.001;-0.001;0
47;1664534695;378803844;1.37966;-0.0254337;0.00195885;208.017;-686.233;170.867;188.471;-675.29;0.000579834;0.000154983;-8.10285e-06;-0.00486171;0;0.001;0
48;1664534695;478791747;1.37966;-0.0254215;0.00196097;208.017;-686.233;170.867;188.472;-675.29;-0.000930786;0.000113453;0.000332843;-0.00470914;-0.001;0.001;0
49;1664534695;578760645;1.37964;-0.0254399;0.00193744;208.016;-686.234;170.867;188.474;-675.289;0.000289917;-5.11356e-05;2.75599e-05;-0.00479201;0;-0.003;0
50;1664534695;678740070;1.37964;-0.0254122;0.0019236;208.016;-686.234;170.867;188.475;-675.289;0.00106812;-2.95315e-05;-0.000212954;-0.00444184;0.001;-0.003;0
