frame_num;sec;nsec;yaw;pitch;roll;north_c;east_c;down_c;north;east;down;vx;vy;vz;gimbal_roll;gimbal_pitch;gps_time_week
1;1664534681;481006284;1.37969;-0.0255952;0.00203576;207.85;-686.222;170.868;0;0;0.00012207;-0.000453806;9.53277e-05;-0.00245112;0.008;-0.001;0
2;1664534690;779675375;1.37955;-0.025438;0.00200372;208.017;-686.234;170.867;1;1;2;0.000128773;0.000441553;-0.00529327;0.007;0.002;0
3;1664534690;879733592;1.37954;-0.0254467;0.00198815;208.017;-686.234;170.867;5;6;9;0.000157446;0.00047056;-0.00478456;-0.002;-0.006;0
4;1664534691;79594466;1.37949;-0.0254553;0.00196541;208.017;-686.234;170.867;19;23;0;0.000286937;0.000690584;-0.00419348;-0.002;0;0
